long_strike,short_strike,current_price,long_ask,short_black_scholes_price,long_black_scholes_price,short_z_score,long_z_score,short_ask,long_bid,short_bid,net_premium,max_profit,max_loss,breakeven,reward_risk_ratio,probability_of_profit,spread_width,bid_ask_spread,long_open_interest,short_open_interest,iv_skew,long_implied_volatility,short_implied_volatility,long_delta,short_delta,long_gamma,short_gamma,long_theta,short_theta,net_theta,long_vega,short_vega,long_rho,short_rho,expiration
110.0,116.0,145.47999572753906,0.06,0.07676302823550962,0.0428203152126736,0.042,0.168,0.08,0.05,0.07,0.01,0.01,5.99,115.99,0.0,0.99,6.0,0.03,2577,979,-0.07768399999999998,0.754991,0.677307,-0.0025897049320714,-0.010058170796879,0.0005130730529423887,0.0017737818763172235,-0.010663110091639196,-0.035305164790608086,0.02,0.0017233346610167786,0.006297945005164406,0.02707148788561141,0.028299202213590474,2025-06-27
110.0,117.0,145.47999572753906,0.06,0.08222201024992204,0.04282031505105999,0.095,0.168,0.09,0.05,0.08,0.02,0.02,6.98,116.98,0.0,0.99,7.0,0.039999999999999994,2577,1330,-0.09355199999999997,0.754991,0.661439,-0.0025897049320714,-0.0123736077848459,0.0005130730529423887,0.0021581271455965215,-0.010663110091639196,-0.039462185522648664,0.03,0.0017233346610167786,0.007509927757768277,0.02707148788561141,0.028461117249346638,2025-06-27
110.0,118.0,145.47999572753906,0.06,0.07852907166544121,0.04282031488538962,0.273,0.168,0.1,0.05,0.09,0.03,0.03,7.97,117.97,0.0,0.99,8.0,0.05,2577,1569,-0.12025399999999997,0.754991,0.634737,-0.0025897049320714,-0.0147555063801312,0.0005130730529423887,0.002541045994619194,-0.010663110091639196,-0.04310065391505139,0.03,0.0017233346610167786,0.007903489292504829,0.02707148788561141,0.02862521829289217,2025-06-27
110.0,119.0,145.47999572753906,0.06,0.08654817556344518,0.042820314722649355,0.155,0.168,0.1,0.05,0.09,0.03,0.03,8.97,118.97,0.0,0.98,9.0,0.05,2577,1266,-0.13362600000000002,0.754991,0.621365,-0.0025897049320714,-0.0174000185097436,0.0005130730529423887,0.002964440803092511,-0.010663110091639196,-0.04700704991130494,0.04,0.0017233346610167786,0.009830255597188916,0.02707148788561141,0.028780164113801344,2025-06-27
110.0,120.0,145.47999572753906,0.06,0.09277741474667645,0.04282031455923163,0.186,0.168,0.11,0.05,0.09,0.03,0.03,9.97,119.97,0.0,0.98,10.0,0.06,2577,20230,-0.149659,0.754991,0.605332,-0.0025897049320714,-0.0204564473314615,0.0005130730529423887,0.0034471787678537814,-0.010663110091639196,-0.05130008966920342,0.04,0.0017233346610167786,0.00987728291800045,0.02707148788561141,0.028920658097170683,2025-06-27
111.0,114.0,145.47999572753906,0.06,0.06805761009428979,0.05139637563775468,0.175,-0.027,0.08,0.05,0.07,0.01,0.01,2.99,113.99,0.0,0.99,3.0,0.03,968,523,-0.03969200000000006,0.750187,0.710495,-0.0033091900259259,-0.0066061476868032,0.0006441493118353735,0.001218212976949852,-0.013872177214646876,-0.029215926278185096,0.02,0.0022853256061690095,0.003879134495882464,0.027293688964471947,0.027920670366764534,2025-06-27
111.0,115.0,145.47999572753906,0.06,0.06788163316500784,0.05139637545166198,0.179,-0.027,0.08,0.05,0.07,0.01,0.01,3.99,114.99,0.0,0.99,4.0,0.03,968,2992,-0.06227500000000008,0.750187,0.687912,-0.0033091900259259,-0.0083867866820101,0.0006441493118353735,0.0015095419634911838,-0.013872177214646876,-0.03266787938788156,0.02,0.0022853256061690095,0.004949075287091137,0.027293688964471947,0.028105764433844077,2025-06-27
111.0,116.0,145.47999572753906,0.06,0.07676302601150775,0.05139637526634866,0.042,-0.027,0.08,0.05,0.07,0.01,0.01,4.99,115.99,0.0,0.99,5.0,0.03,968,979,-0.07288000000000006,0.750187,0.677307,-0.0033091900259259,-0.010058170796879,0.0006441493118353735,0.0017737818763172235,-0.013872177214646876,-0.035305164790608086,0.02,0.0022853256061690095,0.006297945005164406,0.027293688964471947,0.028299202213590474,2025-06-27
111.0,117.0,145.47999572753906,0.06,0.0822220079116387,0.05139637507582817,0.095,-0.027,0.09,0.05,0.08,0.02,0.02,5.98,116.98,0.0,0.99,6.0,0.039999999999999994,968,1330,-0.08874800000000005,0.750187,0.661439,-0.0033091900259259,-0.0123736077848459,0.0006441493118353735,0.0021581271455965215,-0.013872177214646876,-0.039462185522648664,0.03,0.0022853256061690095,0.007509927757768277,0.027293688964471947,0.028461117249346638,2025-06-27
111.0,118.0,145.47999572753906,0.06,0.07852906943152149,0.051396374887132,0.273,-0.027,0.1,0.05,0.09,0.03,0.03,6.97,117.97,0.0,0.99,7.0,0.05,968,1569,-0.11545000000000005,0.750187,0.634737,-0.0033091900259259,-0.0147555063801312,0.0006441493118353735,0.002541045994619194,-0.013872177214646876,-0.04310065391505139,0.03,0.0022853256061690095,0.007903489292504829,0.027293688964471947,0.02862521829289217,2025-06-27
111.0,119.0,145.47999572753906,0.06,0.08654817317075603,0.05139637470077796,0.155,-0.027,0.1,0.05,0.09,0.03,0.03,7.97,118.97,0.0,0.98,8.0,0.05,968,1266,-0.1288220000000001,0.750187,0.621365,-0.0033091900259259,-0.0174000185097436,0.0006441493118353735,0.002964440803092511,-0.013872177214646876,-0.04700704991130494,0.03,0.0022853256061690095,0.009830255597188916,0.027293688964471947,0.028780164113801344,2025-06-27
111.0,120.0,145.47999572753906,0.06,0.09277741224394331,0.05139637451520507,0.186,-0.027,0.11,0.05,0.09,0.03,0.03,8.97,119.97,0.0,0.98,9.0,0.06,968,20230,-0.14485500000000007,0.750187,0.605332,-0.0033091900259259,-0.0204564473314615,0.0006441493118353735,0.0034471787678537814,-0.013872177214646876,-0.05130008966920342,0.04,0.0022853256061690095,0.00987728291800045,0.027293688964471947,0.028920658097170683,2025-06-27
111.0,121.0,145.47999572753906,0.06,0.09939610472432525,0.05139637432911193,0.107,-0.027,0.11,0.05,0.1,0.04,0.04,9.96,120.96,0.0,0.97,10.0,0.06,968,1522,-0.161053,0.750187,0.589134,-0.0033091900259259,-0.025261971767954,0.0006441493118353735,0.004101388463298389,-0.013872177214646876,-0.057650251297287666,0.04,0.0022853256061690095,0.012121577722858004,0.027293688964471947,0.02900895077052547,2025-06-27
